Age,Date,Total_Body_Weight,Live_Bird,Ayam_Dipelihara,persen_Live_Bird,IP_actual,IP,Culling,ADG_actual,Feed,FCR_actual
9,2025-02-24,1.76,8553.6,9000,95.04,0.1519468186134853,183.93,446.3999999999994,0.205761316872428,2.5168,1.43
30,2025-02-24,2.0,19000.0,20000,95.0,0.0238095238095238,279.64,1000.0,0.1052631578947368,2.8,1.4
30,2025-02-24,2.4,19000.0,20000,95.0,0.0285714285714285,279.64,1000.0,0.1263157894736842,3.36,1.4
31,2025-02-24,1.8,4500.0,5000,90.0,0.0800889877641824,272.78,500.0,0.4,2.61,1.45
31,2025-02-24,1.84,4500.0,5000,90.0,0.0818687430478309,272.78,500.0,0.4088888888888889,2.668,1.45
31,2025-02-24,1.87,4751.0,5000,95.02,0.0832035595105673,277.25,249.00000000000017,0.3936013470848242,2.7115,1.45
33,2025-02-26,1.9,9840.000000000002,10000,98.4,0.0436179981634527,288.35,159.99999999999943,0.1930894308943088,2.508,1.32
33,2025-02-26,2.0,9840.000000000002,10000,98.4,0.0459136822773186,288.35,159.99999999999943,0.2032520325203251,2.64,1.32
30,2025-02-26,2.0,9840.000000000002,10000,98.4,0.0505050505050505,288.35,159.99999999999943,0.2032520325203251,2.64,1.32
35,2025-02-26,1.95,180000.0,200000,90.0,0.0017410714285714,271.63,20000.0,0.0108333333333333,3.12,1.6
9,2025-02-26,280.0,4750.0,5000,95.0,42.6179604261796,187.47,250.0,58.94736842105263,408.8,1.46
30,2025-02-26,2.0,9800.0,10000,98.0,0.0476190476190476,278.52,200.0,0.2040816326530612,2.8,1.4
30,2025-02-26,1.7,48000.0,50000,96.0,0.0075555555555555,281.6,2000.0,0.0354166666666666,2.55,1.5
28,2025-02-26,1.78,30380.0,31000,98.0,0.013856021920538,279.13,620.0,0.0585911784068466,2.6344,1.48
30,2025-02-26,1.7,48000.0,50000,96.0,0.008095238095238,288.81,2000.0,0.0354166666666666,2.38,1.4
30,2025-02-26,1.9,48000.0,50000,96.0,0.009047619047619,288.81,2000.0,0.0395833333333333,2.66,1.4
30,2025-02-26,2.0,9000.0,10000,90.0,0.0444444444444444,269.77,1000.0,0.2222222222222222,3.0,1.5
25,2025-02-26,1.2,4800.0,5000,96.0,0.075,297.87,200.0,0.25,1.536,1.28
33,2025-02-27,2.2,36800.0,40000,92.0,0.0001068376068376,224.13,3200.0,0.0597826086956521,343.20000000000005,156.0
33,2025-02-27,2.5,36800.0,40000,92.0,0.0001214063714063,224.13,3200.0,0.0679347826086956,390.0,156.0
30,2025-02-27,2.5,4000.0,5000,80.0,0.0833333333333333,209.74,1000.0,0.625,5.0,2.0
28,2025-02-27,1.52,200.0,200,100.0,1.6430300933932895,279.62,0.0,7.6,2.51104,1.652
25,2025-02-27,122.0,106.95,115,93.0,476.7953102100635,454.5483361661144,8.05,1140.7199625993453,108.58,0.89
45,2025-02-27,1356.0,1164.0,1200,97.0,267.1394799054374,390.083624816805,36.0,1164.9484536082475,1274.64,0.94
45,2025-02-27,1460.0,1164.0,1200,97.0,287.6280535855004,389.27567171470434,36.0,1254.295532646048,1372.4,0.94
45,2025-02-27,1560.0,1164.0,1200,97.0,307.3286052009456,389.5356717147044,36.0,1340.2061855670102,1466.4,0.94
45,2025-02-27,1760.0,1164.0,1200,97.0,346.7297084318361,389.6156717147044,36.0,1512.0274914089346,1654.4,0.94
45,2025-02-27,1860.0,1164.0,1200,97.0,366.43026004728137,389.0556717147044,36.0,1597.938144329897,1748.4,0.94
